"101年03月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/03/01","478,965","12,332,200","25.70","25.83","25.63","25.72","+0.13","213",
"101/03/02","562,857","14,516,258","25.78","25.90","25.69","25.69","-0.03","209",
"101/03/03","205,910","5,260,027","25.62","25.64","25.50","25.55","-0.14","116",
"101/03/05","340,775","8,605,417","25.57","25.57","25.18","25.19","-0.36","214",
"101/03/06","760,658","19,048,658","25.08","25.29","24.87","25.02","-0.17","297",
"101/03/07","398,274","9,920,135","24.83","25.02","24.75","24.90","-0.12","199",
"101/03/08","190,100","4,762,401","24.93","25.20","24.92","25.18","+0.28","98",
"101/03/09","426,473","10,711,342","25.50","25.50","25.00","25.15","-0.03","161",
"101/03/12","212,789","5,344,984","25.17","25.20","25.00","25.00","-0.15","105",
"101/03/13","293,280","7,379,140","25.00","25.27","25.00","25.24","+0.24","153",
"101/03/14","380,725","9,733,067","25.55","25.77","25.42","25.46","+0.22","214",
"101/03/15","168,900","4,302,556","25.40","25.55","25.40","25.50","+0.04","94",
"101/03/16","160,350","4,077,834","25.50","25.50","25.31","25.40","-0.10","72",
"101/03/19","221,390","5,589,484","25.40","25.44","25.14","25.21","-0.19","118",
"101/03/20","107,067","2,696,566","25.25","25.28","25.10","25.10","-0.11","80",
"101/03/21","301,624","7,558,914","25.10","25.27","24.96","25.05","-0.05","178",
"101/03/22","165,060","4,148,216","25.10","25.20","25.02","25.20","+0.15","88",
"101/03/23","65,650","1,652,452","25.20","25.20","25.10","25.18","-0.02","58",
"101/03/26","622,447","15,505,843","25.08","25.08","24.84","24.91","-0.27","351",
"101/03/27","377,470","9,399,397","24.95","25.00","24.84","24.90","-0.01","175",
"101/03/28","259,199","6,457,474","24.90","25.00","24.87","24.92","+0.02","92",
"101/03/29","893,999","21,952,365","24.92","24.92","24.30","24.48","-0.44","484",
"101/03/30","466,999","11,410,743","24.48","24.53","24.31","24.53","+0.05","179",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

