"102年05月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/05/02","2,536,255","60,873,660","23.90","24.09","23.90","24.05","+0.09","601",
"102/05/03","1,322,814","32,042,840","24.14","24.34","24.08","24.11","+0.06","584",
"102/05/06","1,217,959","29,462,216","24.26","24.29","24.15","24.18","+0.07","412",
"102/05/07","618,503","14,896,928","24.18","24.18","24.00","24.03","-0.15","336",
"102/05/08","1,865,022","45,182,529","24.03","24.34","24.03","24.27","+0.24","538",
"102/05/09","3,390,800","82,516,508","24.50","24.50","24.28","24.28","+0.01","439",
"102/05/10","769,830","18,672,370","24.28","24.32","24.20","24.21","-0.07","284",
"102/05/13","633,236","15,333,452","24.20","24.25","24.19","24.22","+0.01","264",
"102/05/14","602,885","14,626,532","24.32","24.33","24.15","24.20","-0.02","228",
"102/05/15","532,599","12,899,561","24.22","24.30","24.13","24.30","+0.10","254",
"102/05/16","2,158,968","52,951,962","24.45","24.66","24.32","24.61","+0.31","693",
"102/05/17","470,950","11,594,726","24.61","24.66","24.54","24.54","-0.07","253",
"102/05/20","486,180","11,939,554","24.58","24.60","24.50","24.58","+0.04","205",
"102/05/21","695,999","17,186,210","24.58","24.75","24.58","24.71","+0.13","236",
"102/05/22","405,608","10,018,833","24.75","24.79","24.60","24.63","-0.08","185",
"102/05/23","1,381,815","33,653,427","24.55","24.58","24.21","24.26","-0.37","493",
"102/05/24","633,490","15,313,034","24.22","24.30","24.00","24.10","-0.16","354",
"102/05/27","266,555","6,430,571","24.05","24.18","24.03","24.16","+0.06","152",
"102/05/28","311,693","7,560,148","24.30","24.30","24.18","24.26","+0.10","131",
"102/05/29","307,359","7,489,455","24.32","24.43","24.32","24.35","+0.09","146",
"102/05/30","639,018","15,465,735","24.31","24.31","24.05","24.13","-0.22","226",
"102/05/31","232,165","5,610,369","24.31","24.31","24.12","24.14","+0.01","168",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

