"103年02月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/02/05","7,386,788","166,637,591","22.70","22.80","22.44","22.58","-0.49","2,982",
"103/02/06","3,469,692","78,432,896","22.60","22.68","22.50","22.63","+0.05","1,082",
"103/02/07","1,610,244","36,634,345","22.66","22.85","22.63","22.81","+0.18","678",
"103/02/10","752,087","17,216,857","22.85","22.92","22.85","22.90","+0.09","379",
"103/02/11","461,825","10,603,631","22.90","23.00","22.90","22.96","+0.06","311",
"103/02/12","571,695","13,192,401","23.02","23.10","23.02","23.09","+0.13","313",
"103/02/13","327,998","7,552,552","23.10","23.10","23.00","23.01","-0.08","229",
"103/02/14","1,097,456","25,393,929","23.10","23.20","23.06","23.07","+0.06","408",
"103/02/17","534,973","12,356,438","23.10","23.15","23.07","23.08","+0.01","250",
"103/02/18","591,799","13,666,865","23.08","23.15","23.04","23.14","+0.06","284",
"103/02/19","536,458","12,407,261","23.14","23.16","23.10","23.11","-0.03","261",
"103/02/20","879,171","20,233,101","23.11","23.11","22.96","22.97","-0.14","407",
"103/02/21","657,099","15,175,144","23.15","23.15","23.05","23.12","+0.15","252",
"103/02/24","550,918","12,699,702","23.12","23.17","23.00","23.05","-0.07","287",
"103/02/25","510,044","11,780,935","23.10","23.15","23.06","23.07","+0.02","206",
"103/02/26","1,148,828","26,576,566","23.07","23.21","23.00","23.12","+0.05","340",
"103/02/27","319,951","7,411,586","23.15","23.20","23.14","23.16","+0.04","208",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

