"101年02月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/02/01","593,543","14,239,800","23.82","24.11","23.80","24.04","+0.26","373",
"101/02/02","866,965","21,092,537","24.20","24.45","24.20","24.45","+0.41","452",
"101/02/03","670,618","16,401,155","24.50","24.55","24.34","24.49","+0.04","367",
"101/02/04","468,855","11,590,988","24.64","24.83","24.64","24.67","+0.18","272",
"101/02/06","693,138","16,887,599","24.67","24.67","24.30","24.37","-0.30","343",
"101/02/07","647,220","15,793,388","24.35","24.50","24.33","24.48","+0.11","228",
"101/02/08","689,422","17,147,997","24.48","25.01","24.48","25.00","+0.52","357",
"101/02/09","1,049,955","26,329,219","25.00","25.15","24.96","25.11","+0.11","439",
"101/02/10","632,127","15,812,447","25.11","25.15","24.91","25.00","-0.11","298",
"101/02/13","652,881","16,351,141","24.98","25.11","24.90","25.08","+0.08","219",
"101/02/14","484,031","12,084,506","25.05","25.15","24.72","24.86","-0.22","227",
"101/02/15","723,497","18,141,419","25.00","25.19","24.90","25.15","+0.29","272",
"101/02/16","813,879","20,442,358","25.06","25.25","25.00","25.00","-0.15","316",
"101/02/17","1,195,552","30,090,990","25.10","25.30","24.97","25.05","+0.05","294",
"101/02/20","297,693","7,498,267","25.13","25.25","25.12","25.18","+0.13","157",
"101/02/21","358,109","8,963,955","25.18","25.20","24.90","25.09","-0.09","179",
"101/02/22","610,302","15,449,501","25.09","25.42","25.03","25.25","+0.16","283",
"101/02/23","344,360","8,709,164","25.20","25.40","25.20","25.24","-0.01","174",
"101/02/24","177,470","4,468,827","25.24","25.29","25.09","25.17","-0.07","117",
"101/02/29","623,319","15,971,675","25.35","25.73","25.35","25.59","+0.42","265",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

