"102年01月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/01/02","1,623,612","37,276,862","22.83","23.05","22.83","22.95","+0.17","517",
"102/01/03","1,423,832","32,899,985","23.05","23.15","23.05","23.06","+0.11","408",
"102/01/04","521,879","11,997,417","23.06","23.06","22.90","22.95","-0.11","269",
"102/01/07","951,774","21,832,751","22.95","23.00","22.82","22.97","+0.02","282",
"102/01/08","718,177","16,407,722","22.95","22.97","22.78","22.80","-0.17","284",
"102/01/09","276,670","6,328,861","22.80","22.99","22.77","22.89","+0.09","137",
"102/01/10","625,219","14,400,060","22.95","23.08","22.95","23.06","+0.17","266",
"102/01/11","423,172","9,764,717","23.10","23.14","23.00","23.03","-0.03","216",
"102/01/14","415,928","9,575,518","22.93","23.15","22.84","23.15","+0.12","240",
"102/01/15","839,134","19,387,081","23.10","23.20","23.04","23.07","-0.08","253",
"102/01/16","940,360","21,682,732","23.07","23.14","22.99","23.08","+0.01","268",
"102/01/17","1,183,603","27,236,855","23.10","23.21","22.78","22.82","-0.26","617",
"102/01/18","504,365","11,604,109","22.95","23.08","22.95","23.06","+0.24","222",
"102/01/21","563,528","13,035,868","23.05","23.18","23.01","23.15","+0.09","253",
"102/01/22","930,313","21,597,539","23.15","23.28","23.14","23.25","+0.10","297",
"102/01/23","1,018,095","23,602,933","23.25","23.30","23.14","23.14","-0.11","217",
"102/01/24","2,502,330","57,846,944","23.12","23.18","23.04","23.09","-0.05","457",
"102/01/25","1,416,400","32,727,898","23.06","23.16","23.06","23.10","+0.01","503",
"102/01/28","1,975,160","45,800,871","23.16","23.24","23.15","23.22","+0.12","369",
"102/01/29","2,021,569","47,297,956","23.35","23.46","23.31","23.42","+0.20","695",
"102/01/30","1,848,366","43,564,404","23.50","23.68","23.48","23.64","+0.22","548",
"102/01/31","2,894,849","68,612,872","23.65","23.76","23.63","23.76","+0.12","443",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

