"101年05月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/05/02","349,387","8,462,652","23.90","24.38","23.90","24.35","+0.51","199",
"101/05/03","107,100","2,608,319","24.35","24.46","24.30","24.37","+0.02","82",
"101/05/04","111,120","2,705,815","24.37","24.45","24.19","24.45","+0.08","81",
"101/05/07","293,424","7,050,338","24.30","24.40","23.91","24.10","-0.35","142",
"101/05/08","104,868","2,530,488","24.16","24.20","24.05","24.13","+0.03","89",
"101/05/09","230,299","5,514,173","24.10","24.10","23.87","24.01","-0.12","158",
"101/05/10","154,187","3,688,508","24.10","24.10","23.87","23.90","-0.11","125",
"101/05/11","380,547","9,036,812","24.00","24.00","23.68","23.76","-0.14","235",
"101/05/14","239,067","5,651,120","23.75","23.76","23.58","23.67","-0.09","168",
"101/05/15","387,998","9,127,650","23.54","23.70","23.45","23.70","+0.03","303",
"101/05/16","464,935","10,919,111","23.60","23.70","23.35","23.38","-0.32","310",
"101/05/17","267,605","6,274,592","23.50","23.52","23.38","23.50","+0.12","202",
"101/05/18","1,202,919","27,742,096","23.20","23.28","22.95","22.98","-0.52","815",
"101/05/21","213,380","4,925,129","23.00","23.18","23.00","23.05","+0.07","139",
"101/05/22","359,830","8,368,156","23.45","23.45","23.13","23.16","+0.11","163",
"101/05/23","571,169","13,094,236","23.15","23.29","22.83","22.90","-0.26","394",
"101/05/24","566,586","12,899,039","22.90","22.96","22.64","22.69","-0.21","354",
"101/05/25","1,390,066","31,527,174","22.70","22.75","22.54","22.58","-0.11","439",
"101/05/28","767,230","17,395,162","22.80","22.81","22.50","22.78","+0.20","451",
"101/05/29","376,999","8,700,174","22.85","23.30","22.80","23.29","+0.51","250",
"101/05/30","445,732","10,286,916","23.20","23.20","23.03","23.19","-0.10","190",
"101/05/31","564,754","12,942,949","23.20","23.20","22.78","23.19"," 0.00","190",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

