"102年02月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/02/01","1,888,669","44,997,920","23.76","23.89","23.76","23.83","+0.07","508",
"102/02/04","1,750,660","41,884,071","23.90","23.99","23.85","23.90","+0.07","501",
"102/02/05","965,409","22,969,052","23.86","23.86","23.75","23.82","-0.08","310",
"102/02/06","1,383,653","32,883,222","23.83","23.87","23.65","23.68","-0.14","464",
"102/02/18","711,786","16,912,642","23.78","23.82","23.69","23.75","+0.07","332",
"102/02/19","998,836","23,682,398","23.74","23.79","23.66","23.72","-0.03","291",
"102/02/20","967,660","23,038,434","23.82","23.86","23.77","23.82","+0.10","280",
"102/02/21","610,301","14,486,452","23.80","23.80","23.70","23.73","-0.09","260",
"102/02/22","822,546","19,431,493","23.70","23.70","23.51","23.70","-0.03","318",
"102/02/23","489,218","11,562,441","23.60","23.73","23.60","23.67","-0.03","207",
"102/02/25","249,451","5,895,676","23.67","23.70","23.60","23.62","-0.05","147",
"102/02/26","602,700","14,169,952","23.50","23.59","23.42","23.52","-0.10","306",
"102/02/27","285,686","6,747,070","23.54","23.70","23.54","23.58","+0.06","207",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

