"101年01月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/01/02","338,860","7,431,255","22.14","22.14","21.82","21.88","-0.26","169",
"101/01/03","486,865","10,764,837","21.95","22.19","21.95","22.12","+0.24","140",
"101/01/04","138,587","3,074,855","22.15","22.25","22.12","22.20","+0.08","89",
"101/01/05","319,403","7,108,684","22.20","22.34","22.11","22.34","+0.14","148",
"101/01/06","250,524","5,604,664","22.34","22.43","22.30","22.41","+0.07","130",
"101/01/09","318,720","7,114,050","22.41","22.41","22.20","22.31","-0.10","130",
"101/01/10","866,880","19,642,335","22.37","22.78","22.37","22.75","+0.44","308",
"101/01/11","429,925","9,807,555","22.80","22.85","22.77","22.80","+0.05","221",
"101/01/12","480,999","11,000,646","22.82","22.91","22.80","22.90","+0.10","230",
"101/01/13","825,265","18,905,825","23.04","23.06","22.70","22.80","-0.10","380",
"101/01/16","653,797","14,857,487","23.05","23.05","22.59","22.67","-0.13","256",
"101/01/17","436,871","10,018,477","22.72","23.00","22.72","22.96","+0.29","199",
"101/01/18","749,505","17,281,332","23.00","23.15","22.96","23.02","+0.06","305",
"101/01/30","1,077,574","25,526,022","23.48","23.80","23.48","23.66","+0.64","429",
"101/01/31","512,642","12,172,904","23.66","23.88","23.64","23.78","+0.12","272",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

