"101年04月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/04/02","233,999","5,732,282","24.52","24.59","24.41","24.55","+0.02","144",
"101/04/03","504,347","12,304,282","24.56","24.66","24.27","24.30","-0.25","324",
"101/04/05","885,445","21,036,488","24.00","24.00","23.50","23.83","-0.47","484",
"101/04/06","339,722","8,122,084","23.83","24.00","23.80","24.00","+0.17","232",
"101/04/09","210,598","5,016,812","24.00","24.00","23.60","23.90","-0.10","159",
"101/04/10","244,893","5,893,379","24.00","24.15","23.95","24.00","+0.10","156",
"101/04/11","161,940","3,882,698","23.85","24.04","23.81","24.02","+0.02","83",
"101/04/12","190,179","4,567,882","24.02","24.10","23.91","24.05","+0.03","98",
"101/04/13","355,797","8,666,221","24.40","24.44","24.20","24.34","+0.29","220",
"101/04/16","113,263","2,745,064","24.33","24.33","24.17","24.33","-0.01","99",
"101/04/17","504,999","12,109,075","24.33","24.33","23.81","23.87","-0.46","349",
"101/04/18","237,500","5,685,764","24.15","24.15","23.86","23.97","+0.10","140",
"101/04/19","248,564","5,940,923","23.92","24.07","23.71","23.97"," 0.00","125",
"101/04/20","402,426","9,586,757","23.81","23.92","23.73","23.73","-0.24","229",
"101/04/23","388,141","9,180,504","23.73","23.77","23.54","23.68","-0.05","228",
"101/04/24","212,032","5,018,420","23.56","23.80","23.55","23.70","+0.02","143",
"101/04/25","121,790","2,899,030","23.78","23.86","23.74","23.85","+0.15","83",
"101/04/26","88,910","2,122,217","23.85","23.96","23.82","23.82","-0.03","68",
"101/04/27","225,200","5,344,599","23.89","23.98","23.64","23.68","-0.14","163",
"101/04/30","51,657","1,225,641","23.63","23.85","23.62","23.84","+0.16","49",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

