"101年09月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/09/03","378,545","9,367,465","24.71","24.80","24.56","24.79","+0.08","192",
"101/09/04","286,750","7,092,919","24.80","24.80","24.69","24.76","-0.03","115",
"101/09/05","509,164","12,509,565","24.69","24.70","24.51","24.55","-0.21","261",
"101/09/06","1,206,090","29,460,900","24.55","24.55","24.35","24.42","-0.13","276",
"101/09/07","427,577","10,528,814","24.70","24.70","24.58","24.63","+0.21","170",
"101/09/10","242,501","5,992,947","24.65","24.77","24.64","24.75","+0.12","127",
"101/09/11","241,773","5,974,880","24.75","24.77","24.68","24.72","-0.03","116",
"101/09/12","340,010","8,463,936","24.75","24.94","24.75","24.94","+0.22","180",
"101/09/13","272,086","6,793,974","24.95","25.02","24.94","24.96","+0.02","181",
"101/09/14","822,840","20,752,268","25.10","25.29","25.10","25.24","+0.28","440",
"101/09/17","585,287","14,817,434","25.25","25.40","25.24","25.38","+0.14","352",
"101/09/18","364,796","9,244,247","25.35","25.39","25.30","25.38"," 0.00","203",
"101/09/19","282,980","7,164,150","25.38","25.38","25.26","25.35","-0.03","142",
"101/09/20","338,285","8,551,259","25.35","25.39","25.17","25.26","-0.09","179",
"101/09/21","488,950","12,400,324","25.20","25.42","25.20","25.40","+0.14","217",
"101/09/24","199,616","5,061,940","25.40","25.47","25.25","25.42","+0.02","118",
"101/09/25","455,700","11,552,069","25.40","25.47","25.29","25.32","-0.10","177",
"101/09/26","731,798","18,364,049","25.23","25.23","25.00","25.00","-0.32","368",
"101/09/27","415,791","10,401,002","25.00","25.12","24.94","24.95","-0.05","185",
"101/09/28","365,228","9,112,343","24.96","25.08","24.88","25.00","+0.05","160",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

