"101年10月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/10/01","381,700","9,532,559","24.98","25.01","24.90","24.98","-0.02","130",
"101/10/02","207,828","5,202,790","24.98","25.10","24.98","25.07","+0.09","104",
"101/10/03","437,116","10,919,019","25.00","25.07","24.94","24.94","-0.13","172",
"101/10/04","963,602","23,822,903","24.94","24.94","24.62","24.79","-0.15","344",
"101/10/05","477,925","11,830,595","24.78","24.83","24.68","24.73","-0.06","239",
"101/10/08","763,069","18,791,045","24.80","24.80","24.53","24.55","-0.18","256",
"101/10/09","1,053,122","25,781,455","24.55","24.55","24.43","24.46","-0.09","422",
"101/10/11","2,394,709","57,521,822","24.18","24.18","23.92","23.97","-0.49","1,071",
"101/10/12","3,115,498","74,439,720","23.96","24.05","23.75","23.90","-0.07","758",
"101/10/15","3,679,631","87,563,844","23.91","23.93","23.72","23.85","-0.05","1,302",
"101/10/16","3,783,996","90,233,174","23.96","23.96","23.80","23.88","+0.03","1,001",
"101/10/17","4,219,385","101,223,221","24.00","24.07","23.95","23.96","+0.08","947",
"101/10/18","3,108,012","74,222,038","24.00","24.00","23.83","23.89","-0.07","997",
"101/10/19","3,016,323","71,782,683","23.88","23.88","23.75","23.85","-0.04","903",
"101/10/22","3,909,604","92,654,406","23.68","23.89","23.58","23.88","+0.03","1,099",
"101/10/23","3,867,688","92,742,656","23.88","24.40","23.85","24.40","+0.52","1,237",
"101/10/24","8,147,998","181,754,137","22.28","22.45","22.19","22.38","X0.00","2,697",
"101/10/25","2,815,266","62,750,117","22.38","22.44","22.16","22.23","-0.15","1,181",
"101/10/26","6,784,408","147,146,012","22.25","22.25","21.40","21.40","-0.83","2,836",
"101/10/29","4,502,461","95,699,597","21.46","21.46","21.17","21.19","-0.21","1,436",
"101/10/30","3,200,400","68,054,184","21.25","21.39","21.18","21.27","+0.08","1,125",
"101/10/31","1,590,431","33,801,218","21.40","21.42","21.13","21.19","-0.08","711",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

