"101年07月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/07/02","194,115","4,577,020","23.50","23.67","23.50","23.67","+0.27","150",
"101/07/03","510,152","12,239,855","23.74","24.15","23.71","24.05","+0.38","317",
"101/07/04","701,400","16,862,838","24.28","24.28","24.00","24.03","-0.02","261",
"101/07/05","189,475","4,550,675","24.03","24.10","23.93","24.00","-0.03","110",
"101/07/06","1,476,255","35,316,488","24.00","24.14","23.85","23.90","-0.10","204",
"101/07/09","1,906,444","45,493,205","23.90","23.99","23.80","23.95","+0.05","209",
"101/07/10","167,197","3,983,672","23.95","23.95","23.75","23.77","-0.18","114",
"101/07/11","78,450","1,863,714","23.77","23.80","23.70","23.77"," 0.00","68",
"101/07/12","326,899","7,701,544","23.77","23.77","23.50","23.54","-0.23","215",
"101/07/13","322,874","7,569,677","23.45","23.52","23.40","23.45","-0.09","174",
"101/07/16","225,999","5,284,115","23.60","23.60","23.30","23.34","-0.11","123",
"101/07/17","175,141","4,101,837","23.35","23.54","23.34","23.47","+0.13","89",
"101/07/18","255,905","5,985,501","23.50","23.50","23.30","23.32","-0.15","118",
"101/07/19","195,985","4,599,785","23.40","23.58","23.40","23.58","+0.26","82",
"101/07/20","156,550","3,695,056","23.60","23.66","23.55","23.58"," 0.00","68",
"101/07/23","428,584","9,988,763","23.50","23.50","23.25","23.38","-0.20","177",
"101/07/24","668,140","15,516,616","23.35","23.35","23.17","23.23","-0.15","261",
"101/07/25","475,002","11,010,392","23.08","23.30","23.05","23.21","-0.02","159",
"101/07/26","118,565","2,762,810","23.28","23.36","23.26","23.32","+0.11","82",
"101/07/27","234,380","5,512,523","23.35","23.59","23.35","23.59","+0.27","137",
"101/07/30","351,982","8,346,249","23.59","23.80","23.59","23.79","+0.20","146",
"101/07/31","629,438","15,063,586","23.78","24.05","23.68","24.05","+0.26","240",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

