"103年01月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"103/01/02","670,599","15,467,291","23.06","23.11","23.02","23.09","+0.03","309",
"103/01/03","802,840","18,459,499","23.09","23.09","22.94","22.97","-0.12","379",
"103/01/06","1,299,409","29,671,187","22.97","23.00","22.75","22.79","-0.18","588",
"103/01/07","488,155","11,167,705","22.85","22.91","22.83","22.90","+0.11","198",
"103/01/08","982,735","22,612,479","22.92","23.04","22.92","23.04","+0.14","348",
"103/01/09","838,447","19,303,221","23.04","23.07","22.99","23.00","-0.04","308",
"103/01/10","711,988","16,391,756","23.00","23.05","23.00","23.01","+0.01","235",
"103/01/13","1,516,212","35,117,037","23.15","23.21","23.05","23.08","+0.07","455",
"103/01/14","638,717","14,745,837","23.10","23.14","23.04","23.09","+0.01","221",
"103/01/15","2,157,808","50,211,555","23.10","23.32","23.10","23.30","+0.21","650",
"103/01/16","1,763,409","41,262,963","23.33","23.48","23.33","23.36","+0.06","598",
"103/01/17","657,380","15,334,820","23.38","23.40","23.26","23.33","-0.03","271",
"103/01/20","2,353,024","55,332,071","23.33","23.63","23.33","23.60","+0.27","849",
"103/01/21","1,279,240","30,218,271","23.60","23.68","23.57","23.57","-0.03","454",
"103/01/22","767,896","18,120,111","23.57","23.66","23.55","23.59","+0.02","232",
"103/01/23","856,906","20,199,352","23.59","23.65","23.50","23.54","-0.05","243",
"103/01/24","1,017,660","23,788,550","23.54","23.54","23.29","23.31","-0.23","449",
"103/01/27","2,056,624","47,388,348","23.20","23.20","22.90","23.07","-0.24","771",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

