"102年04月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/04/01","226,183","5,240,441","23.25","23.25","23.11","23.15","-0.05","157",
"102/04/02","323,015","7,480,596","23.15","23.20","23.11","23.17","+0.02","224",
"102/04/03","560,105","13,027,970","23.25","23.33","23.20","23.33","+0.16","303",
"102/04/08","2,564,094","58,964,357","23.20","23.20","22.93","22.98","-0.35","694",
"102/04/09","1,888,834","43,304,020","22.98","23.00","22.85","22.91","-0.07","697",
"102/04/10","912,778","20,916,053","23.03","23.03","22.89","22.90","-0.01","418",
"102/04/11","745,467","17,188,771","23.00","23.13","22.96","23.10","+0.20","544",
"102/04/12","319,399","7,374,493","23.13","23.15","23.06","23.09","-0.01","118",
"102/04/15","467,304","10,779,088","23.10","23.15","23.00","23.04","-0.05","218",
"102/04/16","689,720","15,816,658","23.00","23.04","22.88","23.04"," 0.00","246",
"102/04/17","350,505","8,073,364","23.00","23.06","23.00","23.06","+0.02","137",
"102/04/18","262,074","6,049,767","23.12","23.12","23.06","23.06"," 0.00","126",
"102/04/19","435,266","10,100,158","23.12","23.30","23.09","23.20","+0.14","260",
"102/04/22","706,883","16,503,179","23.30","23.43","23.28","23.29","+0.09","274",
"102/04/23","281,613","6,569,049","23.30","23.40","23.27","23.32","+0.03","163",
"102/04/24","805,020","18,924,319","23.47","23.56","23.45","23.54","+0.22","315",
"102/04/25","824,111","19,450,730","23.50","23.66","23.50","23.54"," 0.00","275",
"102/04/26","1,135,710","26,989,766","23.59","23.84","23.59","23.65","+0.11","426",
"102/04/29","603,902","14,312,376","23.71","23.73","23.65","23.73","+0.08","242",
"102/04/30","1,747,217","41,843,610","23.94","23.99","23.90","23.96","+0.23","539",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

