"102年11月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/11/01","4,448,491","102,450,195","23.33","23.33","22.97","23.01","-0.28","1,785",
"102/11/04","2,802,370","64,071,802","22.95","22.95","22.81","22.90","-0.11","1,389",
"102/11/05","3,146,140","71,676,620","22.86","22.94","22.71","22.73","-0.17","1,552",
"102/11/06","2,437,110","55,246,547","22.73","22.75","22.59","22.70","-0.03","1,168",
"102/11/07","1,142,918","25,948,408","22.71","22.79","22.64","22.74","+0.04","698",
"102/11/08","2,856,130","64,530,570","22.70","22.70","22.51","22.59","-0.15","1,410",
"102/11/11","5,789,736","129,873,366","22.62","22.62","22.35","22.46","-0.13","1,886",
"102/11/12","4,224,407","94,434,075","22.46","22.48","22.26","22.37","-0.09","1,530",
"102/11/13","5,509,979","122,159,843","22.35","22.40","22.05","22.16","-0.21","2,140",
"102/11/14","2,636,053","58,455,467","22.14","22.30","22.05","22.24","+0.08","1,024",
"102/11/15","1,661,502","37,093,438","22.35","22.38","22.25","22.37","+0.13","752",
"102/11/18","2,540,145","56,698,645","22.41","22.42","22.21","22.24","-0.13","1,031",
"102/11/19","988,433","22,129,868","22.34","22.43","22.30","22.43","+0.19","444",
"102/11/20","1,965,328","43,957,080","22.44","22.46","22.30","22.32","-0.11","765",
"102/11/21","9,202,034","202,892,104","22.26","22.26","22.00","22.04","-0.28","2,886",
"102/11/22","2,608,688","57,458,039","22.09","22.10","21.98","22.06","+0.02","908",
"102/11/25","913,387","20,290,279","22.18","22.25","22.16","22.25","+0.19","508",
"102/11/26","889,188","19,812,197","22.20","22.38","22.16","22.33","+0.08","460",
"102/11/27","1,555,241","34,925,766","22.40","22.50","22.40","22.48","+0.15","679",
"102/11/28","3,917,117","88,526,095","22.55","22.65","22.55","22.62","+0.14","806",
"102/11/29","3,677,963","83,482,565","22.63","22.82","22.62","22.80","+0.18","786",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

