"102年08月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/08/01","211,350","5,134,532","24.45","24.45","24.25","24.28","-0.02","132",
"102/08/02","280,415","6,823,184","24.35","24.42","24.25","24.27","-0.01","186",
"102/08/05","248,033","6,023,119","24.27","24.30","24.26","24.28","+0.01","160",
"102/08/06","486,934","11,773,378","24.28","24.32","24.08","24.15","-0.13","358",
"102/08/07","1,251,981","29,898,814","24.06","24.06","23.81","23.83","-0.32","854",
"102/08/08","978,968","23,245,709","23.83","23.83","23.68","23.80","-0.03","505",
"102/08/09","864,054","20,501,850","23.82","23.86","23.65","23.72","-0.08","391",
"102/08/12","552,461","13,149,497","23.72","23.85","23.72","23.83","+0.11","231",
"102/08/13","329,094","7,886,612","23.86","24.00","23.86","23.99","+0.16","200",
"102/08/14","367,351","8,791,394","24.09","24.09","23.85","23.92","-0.07","232",
"102/08/15","3,413,312","81,123,923","23.76","23.84","23.62","23.80","-0.12","623",
"102/08/16","1,166,807","27,699,796","23.66","23.84","23.63","23.80"," 0.00","343",
"102/08/19","1,374,993","32,524,768","23.71","23.73","23.59","23.68","-0.12","543",
"102/08/20","4,576,190","107,408,438","23.62","23.68","23.35","23.40","-0.28","1,435",
"102/08/22","5,473,960","126,442,686","23.40","23.40","23.00","23.20","-0.20","1,804",
"102/08/23","810,101","18,918,500","23.38","23.42","23.23","23.39","+0.19","431",
"102/08/26","1,056,878","24,788,836","23.50","23.58","23.34","23.58","+0.19","401",
"102/08/27","1,169,436","27,392,833","23.51","23.51","23.36","23.40","-0.18","518",
"102/08/28","1,502,422","34,959,490","23.31","23.37","23.18","23.37","-0.03","487",
"102/08/29","519,999","12,212,422","23.40","23.52","23.39","23.50","+0.13","290",
"102/08/30","1,395,998","32,957,478","23.55","23.65","23.51","23.65","+0.15","385",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

