"102年06月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/06/03","428,267","10,270,474","23.90","24.10","23.90","24.10","-0.04","257",
"102/06/04","396,474","9,519,066","24.10","24.10","23.96","23.98","-0.12","263",
"102/06/05","251,998","6,028,752","23.96","23.96","23.90","23.92","-0.06","215",
"102/06/06","1,902,131","44,967,564","23.82","23.82","23.60","23.66","-0.26","1,246",
"102/06/07","1,124,199","26,520,772","23.65","23.69","23.50","23.60","-0.06","454",
"102/06/10","339,135","8,068,930","23.90","23.90","23.73","23.78","+0.18","190",
"102/06/11","595,378","14,092,175","23.80","23.80","23.60","23.61","-0.17","308",
"102/06/13","3,102,451","72,474,414","23.50","23.50","23.25","23.25","-0.36","961",
"102/06/14","1,826,344","42,387,314","23.34","23.34","23.15","23.22","-0.03","495",
"102/06/17","647,487","15,087,156","23.24","23.33","23.24","23.33","+0.11","216",
"102/06/18","828,604","19,318,616","23.35","23.40","23.24","23.39","+0.06","223",
"102/06/19","207,749","4,869,391","23.46","23.46","23.41","23.45","+0.06","124",
"102/06/20","1,192,608","27,690,703","23.18","23.32","23.16","23.25","-0.20","465",
"102/06/21","3,143,776","71,989,217","22.95","23.14","22.81","23.14","-0.11","1,038",
"102/06/24","1,847,181","42,415,210","23.07","23.12","22.88","23.04","-0.10","528",
"102/06/25","3,658,396","83,459,185","23.04","23.05","22.67","22.80","-0.24","1,204",
"102/06/26","1,128,284","25,873,307","22.89","23.04","22.83","22.98","+0.18","441",
"102/06/27","562,785","13,060,494","23.10","23.30","23.05","23.30","+0.32","323",
"102/06/28","1,261,003","29,502,836","23.36","23.42","23.30","23.41","+0.11","293",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

