"102年09月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/09/02","1,570,303","37,361,460","23.72","23.85","23.69","23.84","+0.19","475",
"102/09/03","4,636,595","111,182,871","23.87","24.03","23.87","24.03","+0.19","634",
"102/09/04","1,651,123","39,613,619","24.03","24.04","23.91","24.03"," 0.00","396",
"102/09/05","2,477,681","59,856,292","24.03","24.21","24.03","24.18","+0.15","503",
"102/09/06","1,211,749","29,335,120","24.18","24.25","24.18","24.20","+0.02","425",
"102/09/09","783,783","18,942,273","24.20","24.21","24.06","24.19","-0.01","336",
"102/09/10","1,879,767","45,681,664","24.20","24.36","24.20","24.25","+0.06","546",
"102/09/11","1,849,715","44,869,356","24.27","24.29","24.20","24.25"," 0.00","337",
"102/09/12","826,256","20,087,000","24.25","24.37","24.25","24.30","+0.05","306",
"102/09/13","723,798","17,525,104","24.30","24.33","24.13","24.19","-0.11","296",
"102/09/14","322,072","7,779,396","24.19","24.19","24.11","24.18","-0.01","154",
"102/09/16","2,305,986","56,218,967","24.20","24.41","24.20","24.39","+0.21","462",
"102/09/17","1,410,116","34,360,996","24.41","24.44","24.33","24.34","-0.05","221",
"102/09/18","995,053","24,264,031","24.34","24.42","24.34","24.38","+0.04","274",
"102/09/23","1,003,267","24,499,825","24.38","24.48","24.35","24.46","+0.08","328",
"102/09/24","716,770","17,549,079","24.46","24.53","24.42","24.45","-0.01","283",
"102/09/25","1,364,065","33,345,615","24.45","24.46","24.43","24.43","-0.02","200",
"102/09/26","2,230,740","54,283,302","24.43","24.43","24.19","24.20","-0.23","400",
"102/09/27","2,455,521","59,449,537","24.21","24.29","24.16","24.21","+0.01","285",
"102/09/30","3,158,730","75,884,371","24.10","24.19","23.95","24.19","-0.02","481",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

