"101年06月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/06/01","1,445,208","33,252,824","23.19","23.19","22.80","22.89","-0.30","272",
"101/06/04","1,327,041","29,576,761","22.50","22.55","22.18","22.31","-0.58","766",
"101/06/05","347,377","7,826,183","22.43","22.63","22.42","22.53","+0.22","242",
"101/06/06","198,466","4,503,215","22.60","22.77","22.56","22.72","+0.19","143",
"101/06/07","321,265","7,324,649","22.90","22.92","22.68","22.72"," 0.00","208",
"101/06/08","228,829","5,168,354","22.70","22.72","22.52","22.60","-0.12","148",
"101/06/11","124,201","2,833,893","22.78","22.91","22.76","22.84","+0.24","81",
"101/06/12","137,000","3,123,580","22.83","22.96","22.61","22.95","+0.11","114",
"101/06/13","886,998","20,190,242","22.97","22.97","22.68","22.78","-0.17","212",
"101/06/14","98,388","2,244,435","22.78","22.84","22.78","22.79","+0.01","98",
"101/06/15","178,198","4,080,684","22.83","23.00","22.79","23.00","+0.21","111",
"101/06/18","393,436","9,176,152","23.21","23.39","23.21","23.33","+0.33","223",
"101/06/19","123,666","2,878,053","23.35","23.38","23.21","23.25","-0.08","98",
"101/06/20","149,203","3,483,634","23.30","23.40","23.28","23.40","+0.15","90",
"101/06/21","116,000","2,705,690","23.40","23.40","23.28","23.30","-0.10","75",
"101/06/22","183,700","4,250,679","23.15","23.25","23.05","23.20","-0.10","104",
"101/06/25","264,200","6,086,142","23.05","23.10","22.95","23.08","-0.12","114",
"101/06/26","125,791","2,899,561","23.05","23.08","23.02","23.08"," 0.00","78",
"101/06/27","177,380","4,099,920","23.08","23.27","22.97","23.15","+0.07","92",
"101/06/28","99,000","2,297,370","23.29","23.30","23.08","23.16","+0.01","86",
"101/06/29","243,700","5,687,027","23.16","23.40","23.16","23.40","+0.24","118",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

