"102年07月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/07/01","5,514,579","129,963,696","23.41","23.70","23.41","23.69","+0.28","574",
"102/07/02","842,998","19,919,550","23.69","23.69","23.55","23.55","-0.14","313",
"102/07/03","504,001","11,856,843","23.52","23.59","23.50","23.53","-0.02","225",
"102/07/04","421,350","9,913,576","23.52","23.64","23.46","23.52","-0.01","238",
"102/07/05","443,870","10,515,560","23.70","23.74","23.60","23.73","+0.21","245",
"102/07/08","633,396","14,942,492","23.73","23.73","23.47","23.55","-0.18","253",
"102/07/09","349,486","8,249,932","23.60","23.71","23.55","23.62","+0.07","179",
"102/07/10","640,073","15,172,872","23.62","23.76","23.62","23.65","+0.03","260",
"102/07/11","2,109,539","50,529,411","23.84","24.05","23.83","24.04","+0.39","653",
"102/07/12","1,417,000","34,130,740","24.04","24.15","24.02","24.10","+0.06","374",
"102/07/15","1,034,056","25,013,898","24.10","24.32","24.04","24.27","+0.17","433",
"102/07/16","1,227,029","29,862,438","24.27","24.37","24.26","24.35","+0.08","354",
"102/07/17","650,593","15,789,805","24.35","24.36","24.18","24.30","-0.05","266",
"102/07/18","1,522,449","36,876,647","24.30","24.38","24.13","24.22","-0.08","317",
"102/07/19","923,510","22,207,760","24.22","24.22","23.94","23.98","-0.24","503",
"102/07/22","469,035","11,313,923","24.01","24.19","24.01","24.16","+0.18","185",
"102/07/23","1,343,536","32,757,398","24.23","24.48","24.20","24.47","+0.31","525",
"102/07/24","1,292,244","31,630,303","24.47","24.57","24.36","24.43","-0.04","284",
"102/07/25","470,973","11,499,746","24.43","24.50","24.27","24.30","-0.13","222",
"102/07/26","335,842","8,159,367","24.33","24.42","24.23","24.24","-0.06","209",
"102/07/29","318,492","7,696,533","24.30","24.30","24.08","24.18","-0.06","223",
"102/07/30","518,109","12,566,997","24.18","24.33","24.16","24.25","+0.07","180",
"102/07/31","357,848","8,687,264","24.30","24.33","24.20","24.30","+0.05","149",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

