"100年12月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/12/01","984,293","22,106,102","21.80","22.74","21.80","22.68","+1.17","492",
"100/12/02","307,873","6,916,879","22.68","22.68","22.39","22.46","-0.22","168",
"100/12/05","213,090","4,767,580","22.50","22.50","22.17","22.46"," 0.00","130",
"100/12/06","452,009","10,012,711","22.50","22.50","22.00","22.01","-0.45","285",
"100/12/07","228,677","5,075,924","22.10","22.28","22.10","22.20","+0.19","169",
"100/12/08","313,605","6,894,700","22.16","22.16","21.90","22.03","-0.17","176",
"100/12/09","305,000","6,661,449","21.70","22.00","21.68","21.89","-0.14","187",
"100/12/12","292,833","6,432,510","22.16","22.16","21.85","21.90","+0.01","192",
"100/12/13","279,580","6,069,520","21.78","21.86","21.58","21.80","-0.10","164",
"100/12/14","112,251","2,449,032","21.88","21.89","21.70","21.85","+0.05","83",
"100/12/15","569,499","12,258,740","21.75","21.75","21.45","21.46","-0.39","343",
"100/12/16","446,070","9,558,266","21.48","21.53","21.39","21.45","-0.01","193",
"100/12/19","1,212,280","25,467,782","21.31","21.32","20.78","20.86","-0.59","704",
"100/12/20","685,798","14,353,848","20.86","21.04","20.84","20.89","+0.03","249",
"100/12/21","523,950","11,361,902","21.50","21.84","21.41","21.82","+0.93","289",
"100/12/22","275,049","5,975,465","21.82","21.82","21.66","21.78","-0.04","134",
"100/12/23","560,268","12,409,882","21.93","22.30","21.93","22.25","+0.47","246",
"100/12/26","196,932","4,379,421","22.35","22.35","22.15","22.25"," 0.00","114",
"100/12/27","259,232","5,739,599","22.28","22.28","22.04","22.16","-0.09","133",
"100/12/28","135,899","3,006,035","22.16","22.16","22.10","22.12","-0.04","79",
"100/12/29","187,064","4,123,633","22.10","22.15","21.95","22.15","+0.03","109",
"100/12/30","258,630","5,741,552","22.47","22.47","22.12","22.14","-0.01","115",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

