"102年12月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/12/02","1,386,645","31,608,379","22.80","22.83","22.71","22.77","-0.03","562",
"102/12/03","514,853","11,716,753","22.77","22.80","22.73","22.77"," 0.00","269",
"102/12/04","611,292","13,905,344","22.77","22.79","22.69","22.75","-0.02","319",
"102/12/05","911,443","20,677,669","22.75","22.78","22.61","22.69","-0.06","396",
"102/12/06","550,193","12,460,388","22.70","22.70","22.61","22.65","-0.04","313",
"102/12/09","1,042,027","23,779,599","22.70","22.89","22.70","22.78","+0.13","446",
"102/12/10","380,130","8,645,651","22.80","22.80","22.71","22.73","-0.05","225",
"102/12/11","602,242","13,673,284","22.75","22.80","22.65","22.66","-0.07","326",
"102/12/12","616,829","13,925,130","22.58","22.64","22.54","22.64","-0.02","335",
"102/12/13","307,993","6,968,245","22.61","22.68","22.58","22.65","+0.01","196",
"102/12/16","560,731","12,661,701","22.65","22.65","22.54","22.60","-0.05","272",
"102/12/17","831,317","18,847,813","22.60","22.70","22.60","22.68","+0.08","233",
"102/12/18","323,120","7,326,010","22.68","22.70","22.65","22.66","-0.02","165",
"102/12/19","628,263","14,311,307","22.80","22.82","22.72","22.72","+0.06","332",
"102/12/20","524,305","11,924,392","22.82","22.82","22.71","22.78","+0.06","203",
"102/12/23","1,118,261","25,589,364","22.80","22.92","22.80","22.83","+0.05","450",
"102/12/24","450,115","10,281,922","22.85","22.88","22.83","22.84","+0.01","202",
"102/12/25","337,045","7,701,747","22.84","22.88","22.84","22.85","+0.01","197",
"102/12/26","319,336","7,300,652","22.85","22.88","22.85","22.87","+0.02","172",
"102/12/27","1,031,033","23,619,439","22.89","22.93","22.87","22.93","+0.06","417",
"102/12/30","1,123,098","25,833,312","22.96","23.03","22.96","23.03","+0.10","466",
"102/12/31","1,252,935","28,969,553","23.12","23.18","23.03","23.06","+0.03","467",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

